route_dir,pickle_path,model_columns,processed,trained
"100168_1","models/100168_1/model.pkl","stop_sequence,route_dir_stop_100168_1_11352,route_dir_stop_100168_1_25752,route_dir_stop_100168_1_29405,route_dir_stop_100168_1_29420,route_dir_stop_100168_1_29440,route_dir_stop_100168_1_70180,route_dir_stop_100168_1_70184,route_dir_stop_100168_1_70190,route_dir_stop_100168_1_70200,route_dir_stop_100168_1_70210,route_dir_stop_100168_1_70538,route_dir_stop_100168_1_71355,route_dir_stop_100168_1_71356,route_dir_stop_100168_1_72134,route_dir_stop_100168_1_72312,route_dir_stop_100168_1_72314,route_dir_stop_100168_1_73722,route_dir_stop_100168_1_73724,route_dir_stop_100168_1_73744,route_dir_stop_100168_1_73745,route_dir_stop_100168_1_74225,route_dir_stop_100168_1_74226,route_dir_stop_100168_1_74250,route_dir_stop_100168_1_74268,route_dir_stop_100168_1_74270,route_dir_stop_100168_1_74310,route_dir_stop_100168_1_74321,route_dir_stop_100168_1_74322,route_dir_stop_100168_1_74324,route_dir_stop_100168_1_74326,route_dir_stop_100168_1_74327,route_dir_stop_100168_1_74328,route_dir_stop_100168_1_74331,route_dir_stop_100168_1_74334,route_dir_stop_100168_1_74721,route_dir_stop_100168_1_74733,route_dir_stop_100168_1_75401,route_dir_stop_100168_1_75402,route_dir_stop_100168_1_75403,route_dir_stop_100168_1_75404,route_dir_stop_100168_1_75405,route_dir_stop_100168_1_75406,route_dir_stop_100168_1_85260,route_dir_stop_100168_1_85270,route_dir_stop_100168_1_85271,route_dir_stop_100168_1_85280,route_dir_stop_100168_1_85290,route_dir_stop_100168_1_85300,month_1,month_12,day_2,day_3,day_4,day_5,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_5,hour_6,hour_7,hour_8,hour_9,dow_0,dow_1,dow_2,dow_3,dow_4","finished","true"
"100077_1","models/100077_1/model.pkl","stop_sequence,route_dir_stop_100077_1_57755,route_dir_stop_100077_1_57760,route_dir_stop_100077_1_57765,route_dir_stop_100077_1_57774,route_dir_stop_100077_1_57778,route_dir_stop_100077_1_57792,route_dir_stop_100077_1_57793,route_dir_stop_100077_1_58536,route_dir_stop_100077_1_58538,route_dir_stop_100077_1_58540,route_dir_stop_100077_1_58550,route_dir_stop_100077_1_58560,route_dir_stop_100077_1_58570,route_dir_stop_100077_1_58580,route_dir_stop_100077_1_58650,route_dir_stop_100077_1_58730,route_dir_stop_100077_1_58740,route_dir_stop_100077_1_58750,route_dir_stop_100077_1_58752,route_dir_stop_100077_1_58754,route_dir_stop_100077_1_58760,route_dir_stop_100077_1_58780,route_dir_stop_100077_1_58855,route_dir_stop_100077_1_58860,route_dir_stop_100077_1_58862,route_dir_stop_100077_1_58864,route_dir_stop_100077_1_58870,route_dir_stop_100077_1_58880,route_dir_stop_100077_1_58888,route_dir_stop_100077_1_58902,route_dir_stop_100077_1_58912,route_dir_stop_100077_1_58962,route_dir_stop_100077_1_58964,route_dir_stop_100077_1_59032,route_dir_stop_100077_1_59033,route_dir_stop_100077_1_59041,route_dir_stop_100077_1_81100,route_dir_stop_100077_1_99474,month_1,month_12,day_2,day_3,day_4,day_5,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_16,hour_17,hour_18,hour_19,dow_0,dow_1,dow_2,dow_3,dow_4","finished","true"
"100124_1","models/100124_1/model.pkl","stop_sequence,route_dir_stop_100124_1_67598,route_dir_stop_100124_1_67654,route_dir_stop_100124_1_68496,route_dir_stop_100124_1_68803,route_dir_stop_100124_1_71335,route_dir_stop_100124_1_71341,route_dir_stop_100124_1_71825,route_dir_stop_100124_1_71826,route_dir_stop_100124_1_71827,route_dir_stop_100124_1_71840,route_dir_stop_100124_1_71850,route_dir_stop_100124_1_71864,route_dir_stop_100124_1_71870,route_dir_stop_100124_1_71876,route_dir_stop_100124_1_71880,route_dir_stop_100124_1_71890,route_dir_stop_100124_1_71910,route_dir_stop_100124_1_71954,route_dir_stop_100124_1_72456,route_dir_stop_100124_1_73637,route_dir_stop_100124_1_73758,route_dir_stop_100124_1_74444,route_dir_stop_100124_1_74461,route_dir_stop_100124_1_74462,route_dir_stop_100124_1_74463,route_dir_stop_100124_1_74464,route_dir_stop_100124_1_74465,route_dir_stop_100124_1_74516,route_dir_stop_100124_1_75982,route_dir_stop_100124_1_77053,route_dir_stop_100124_1_77055,route_dir_stop_100124_1_77063,route_dir_stop_100124_1_77064,route_dir_stop_100124_1_77065,route_dir_stop_100124_1_77066,route_dir_stop_100124_1_77067,route_dir_stop_100124_1_77068,route_dir_stop_100124_1_77112,route_dir_stop_100124_1_80496,route_dir_stop_100124_1_80498,route_dir_stop_100124_1_81758,route_dir_stop_100124_1_84001,route_dir_stop_100124_1_84005,route_dir_stop_100124_1_84024,route_dir_stop_100124_1_84025,route_dir_stop_100124_1_84026,route_dir_stop_100124_1_84028,route_dir_stop_100124_1_84029,route_dir_stop_100124_1_84031,route_dir_stop_100124_1_84068,month_1,month_12,day_2,day_3,day_4,day_5,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_5,hour_6,hour_7,hour_8,hour_9,hour_15,hour_16,hour_17,hour_18,dow_0,dow_1,dow_2,dow_3,dow_4","finished","true"
"100030_0","models/100030_0/model.pkl","stop_sequence,route_dir_stop_100030_0_21104,route_dir_stop_100030_0_30670,route_dir_stop_100030_0_30690,route_dir_stop_100030_0_30700,route_dir_stop_100030_0_30720,route_dir_stop_100030_0_30748,route_dir_stop_100030_0_400,route_dir_stop_100030_0_420,route_dir_stop_100030_0_433,route_dir_stop_100030_0_45870,route_dir_stop_100030_0_45880,route_dir_stop_100030_0_45900,route_dir_stop_100030_0_45910,route_dir_stop_100030_0_45920,route_dir_stop_100030_0_45940,route_dir_stop_100030_0_45960,route_dir_stop_100030_0_468,route_dir_stop_100030_0_48280,route_dir_stop_100030_0_48290,route_dir_stop_100030_0_48310,route_dir_stop_100030_0_48311,route_dir_stop_100030_0_48330,route_dir_stop_100030_0_48346,route_dir_stop_100030_0_48360,route_dir_stop_100030_0_48370,route_dir_stop_100030_0_48390,route_dir_stop_100030_0_48398,route_dir_stop_100030_0_48410,route_dir_stop_100030_0_48430,route_dir_stop_100030_0_48440,route_dir_stop_100030_0_48451,route_dir_stop_100030_0_48460,route_dir_stop_100030_0_48470,route_dir_stop_100030_0_490,route_dir_stop_100030_0_49585,route_dir_stop_100030_0_515,route_dir_stop_100030_0_51870,route_dir_stop_100030_0_51877,route_dir_stop_100030_0_51879,route_dir_stop_100030_0_51890,route_dir_stop_100030_0_51900,route_dir_stop_100030_0_51910,route_dir_stop_100030_0_51920,route_dir_stop_100030_0_51930,route_dir_stop_100030_0_51940,route_dir_stop_100030_0_51960,route_dir_stop_100030_0_51970,route_dir_stop_100030_0_51972,route_dir_stop_100030_0_52305,route_dir_stop_100030_0_7430,month_1,month_12,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_0,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6","finished","true"
"100223_1","models/100223_1/model.pkl","stop_sequence,route_dir_stop_100223_1_1085,route_dir_stop_100223_1_10911,route_dir_stop_100223_1_10912,route_dir_stop_100223_1_10914,route_dir_stop_100223_1_10917,route_dir_stop_100223_1_11060,route_dir_stop_100223_1_11070,route_dir_stop_100223_1_1110,route_dir_stop_100223_1_11100,route_dir_stop_100223_1_13441,route_dir_stop_100223_1_1471,route_dir_stop_100223_1_25243,route_dir_stop_100223_1_29240,route_dir_stop_100223_1_29244,route_dir_stop_100223_1_29245,route_dir_stop_100223_1_29247,route_dir_stop_100223_1_29248,route_dir_stop_100223_1_29249,route_dir_stop_100223_1_29251,route_dir_stop_100223_1_29253,route_dir_stop_100223_1_29254,route_dir_stop_100223_1_29255,route_dir_stop_100223_1_29256,route_dir_stop_100223_1_29257,route_dir_stop_100223_1_29258,route_dir_stop_100223_1_29259,route_dir_stop_100223_1_29260,route_dir_stop_100223_1_29261,route_dir_stop_100223_1_29264,route_dir_stop_100223_1_29266,route_dir_stop_100223_1_29301,route_dir_stop_100223_1_41980,route_dir_stop_100223_1_41982,route_dir_stop_100223_1_41986,route_dir_stop_100223_1_41987,route_dir_stop_100223_1_41989,route_dir_stop_100223_1_450,route_dir_stop_100223_1_480,route_dir_stop_100223_1_500,route_dir_stop_100223_1_515,month_1,month_12,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_0,hour_1,hour_2,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_23,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6","finished","true"
"100005_1","models/100005_1/model.pkl","stop_sequence,route_dir_stop_100005_1_1500,route_dir_stop_100005_1_1510,route_dir_stop_100005_1_30140,route_dir_stop_100005_1_30160,route_dir_stop_100005_1_34544,route_dir_stop_100005_1_3600,route_dir_stop_100005_1_45320,route_dir_stop_100005_1_45340,route_dir_stop_100005_1_45350,route_dir_stop_100005_1_46464,route_dir_stop_100005_1_55000,route_dir_stop_100005_1_55010,route_dir_stop_100005_1_55020,route_dir_stop_100005_1_55030,route_dir_stop_100005_1_55040,route_dir_stop_100005_1_55050,route_dir_stop_100005_1_55060,route_dir_stop_100005_1_55062,route_dir_stop_100005_1_55064,route_dir_stop_100005_1_55066,route_dir_stop_100005_1_55068,route_dir_stop_100005_1_55130,route_dir_stop_100005_1_55140,route_dir_stop_100005_1_55150,route_dir_stop_100005_1_55160,route_dir_stop_100005_1_55170,route_dir_stop_100005_1_55180,route_dir_stop_100005_1_55190,route_dir_stop_100005_1_55200,route_dir_stop_100005_1_55210,route_dir_stop_100005_1_55220,route_dir_stop_100005_1_55472,route_dir_stop_100005_1_55474,route_dir_stop_100005_1_55583,route_dir_stop_100005_1_55589,route_dir_stop_100005_1_55590,route_dir_stop_100005_1_55593,route_dir_stop_100005_1_55651,route_dir_stop_100005_1_55661,route_dir_stop_100005_1_55681,route_dir_stop_100005_1_55702,route_dir_stop_100005_1_55711,route_dir_stop_100005_1_55729,route_dir_stop_100005_1_55735,route_dir_stop_100005_1_55771,route_dir_stop_100005_1_55780,route_dir_stop_100005_1_55790,route_dir_stop_100005_1_55802,route_dir_stop_100005_1_55812,route_dir_stop_100005_1_55831,route_dir_stop_100005_1_55851,route_dir_stop_100005_1_8080,route_dir_stop_100005_1_8401,route_dir_stop_100005_1_8429,route_dir_stop_100005_1_843,route_dir_stop_100005_1_8440,route_dir_stop_100005_1_8450,route_dir_stop_100005_1_8460,route_dir_stop_100005_1_8485,route_dir_stop_100005_1_8492,route_dir_stop_100005_1_8510,route_dir_stop_100005_1_8530,month_1,month_12,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_0,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6","finished","true"
"102628_0","models/102628_0/model.pkl","stop_sequence,route_dir_stop_102628_0_68404,route_dir_stop_102628_0_68405,route_dir_stop_102628_0_70694,route_dir_stop_102628_0_71140,route_dir_stop_102628_0_71160,route_dir_stop_102628_0_71170,route_dir_stop_102628_0_71180,route_dir_stop_102628_0_71190,route_dir_stop_102628_0_71210,route_dir_stop_102628_0_71220,route_dir_stop_102628_0_71230,route_dir_stop_102628_0_71250,route_dir_stop_102628_0_71260,route_dir_stop_102628_0_73089,route_dir_stop_102628_0_73092,month_1,month_12,day_3,day_4,day_5,day_8,day_9,day_10,day_11,day_12,day_14,day_15,day_16,day_17,day_18,day_19,day_23,day_24,day_25,day_26,day_29,day_30,day_31,hour_13,hour_14,hour_15,dow_0,dow_1,dow_2,dow_3,dow_4","finished","true"
"100161_1","models/100161_1/model.pkl","stop_sequence,route_dir_stop_100161_1_1360,route_dir_stop_100161_1_1370,route_dir_stop_100161_1_27175,route_dir_stop_100161_1_27180,route_dir_stop_100161_1_27190,route_dir_stop_100161_1_27200,route_dir_stop_100161_1_27210,route_dir_stop_100161_1_27230,route_dir_stop_100161_1_27240,route_dir_stop_100161_1_27260,route_dir_stop_100161_1_27270,route_dir_stop_100161_1_27290,route_dir_stop_100161_1_27300,route_dir_stop_100161_1_27310,route_dir_stop_100161_1_27320,route_dir_stop_100161_1_27335,route_dir_stop_100161_1_27350,route_dir_stop_100161_1_27360,route_dir_stop_100161_1_27370,route_dir_stop_100161_1_27380,route_dir_stop_100161_1_27395,route_dir_stop_100161_1_27420,route_dir_stop_100161_1_27430,route_dir_stop_100161_1_531,route_dir_stop_100161_1_548,route_dir_stop_100161_1_570,route_dir_stop_100161_1_590,route_dir_stop_100161_1_98797,month_1,month_12,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6","finished","true"
"100203_1","models/100203_1/model.pkl","stop_sequence,route_dir_stop_100203_1_16104,route_dir_stop_100203_1_16160,route_dir_stop_100203_1_16170,route_dir_stop_100203_1_16180,route_dir_stop_100203_1_16190,route_dir_stop_100203_1_16200,route_dir_stop_100203_1_16210,route_dir_stop_100203_1_16220,route_dir_stop_100203_1_16230,route_dir_stop_100203_1_16240,route_dir_stop_100203_1_16250,route_dir_stop_100203_1_16260,route_dir_stop_100203_1_16270,route_dir_stop_100203_1_16280,route_dir_stop_100203_1_16290,route_dir_stop_100203_1_16300,route_dir_stop_100203_1_16310,route_dir_stop_100203_1_16330,route_dir_stop_100203_1_16340,route_dir_stop_100203_1_16800,route_dir_stop_100203_1_16810,route_dir_stop_100203_1_16830,route_dir_stop_100203_1_16840,route_dir_stop_100203_1_16850,route_dir_stop_100203_1_16860,route_dir_stop_100203_1_16870,route_dir_stop_100203_1_16880,route_dir_stop_100203_1_16890,route_dir_stop_100203_1_16900,route_dir_stop_100203_1_16910,route_dir_stop_100203_1_16920,route_dir_stop_100203_1_16940,route_dir_stop_100203_1_16960,route_dir_stop_100203_1_16980,route_dir_stop_100203_1_16990,route_dir_stop_100203_1_17010,route_dir_stop_100203_1_17022,route_dir_stop_100203_1_17024,route_dir_stop_100203_1_35293,route_dir_stop_100203_1_89990,month_1,month_12,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_0,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6","finished","true"
"100057_0","models/100057_0/model.pkl","stop_sequence,route_dir_stop_100057_0_57070,route_dir_stop_100057_0_57090,route_dir_stop_100057_0_57100,route_dir_stop_100057_0_57110,route_dir_stop_100057_0_57120,route_dir_stop_100057_0_57126,route_dir_stop_100057_0_57405,route_dir_stop_100057_0_57407,route_dir_stop_100057_0_57409,route_dir_stop_100057_0_57430,route_dir_stop_100057_0_57451,route_dir_stop_100057_0_57493,route_dir_stop_100057_0_57496,route_dir_stop_100057_0_57512,route_dir_stop_100057_0_57516,route_dir_stop_100057_0_57521,route_dir_stop_100057_0_57522,route_dir_stop_100057_0_57528,route_dir_stop_100057_0_57534,route_dir_stop_100057_0_57535,route_dir_stop_100057_0_57536,route_dir_stop_100057_0_59062,route_dir_stop_100057_0_59064,route_dir_stop_100057_0_59066,route_dir_stop_100057_0_59069,route_dir_stop_100057_0_59272,route_dir_stop_100057_0_59282,route_dir_stop_100057_0_60471,route_dir_stop_100057_0_60473,route_dir_stop_100057_0_60475,route_dir_stop_100057_0_60477,route_dir_stop_100057_0_60479,route_dir_stop_100057_0_60480,month_1,month_12,day_2,day_3,day_4,day_5,day_6,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5","finished","true"
