route_dir,short_dir,route_short_name,direction_id,stop_id,route_id,stop_name,stop_sequence
"100001_0","1_0","1","0","538","100001","3rd Ave & Columbia St","18"
"100001_0","1_0","1","0","538","100001","3rd Ave & Columbia St","35"
"100001_0","1_0","1","0","558","100001","3rd Ave & Seneca St","23"
"100001_0","1_0","1","0","558","100001","3rd Ave & Seneca St","40"
"100001_0","1_0","1","0","575","100001","3rd Ave & Pike St","27"
"100001_0","1_0","1","0","575","100001","3rd Ave & Pike St","44"
"100001_0","1_0","1","0","600","100001","3rd Ave & Virginia St","37"
"100001_0","1_0","1","0","600","100001","3rd Ave & Virginia St","54"
"100001_0","1_0","1","0","605","100001","3rd Ave & Bell St","42"
"100001_0","1_0","1","0","605","100001","3rd Ave & Bell St","59"
"100001_0","1_0","1","0","1500","100001","S Jackson St & 8th Ave S","10"
"100001_0","1_0","1","0","1510","100001","S Jackson St & Maynard Ave S","14"
"100001_0","1_0","1","0","1530","100001","S Jackson St & 5th Ave S","1"
"100001_0","1_0","1","0","1530","100001","S Jackson St & 5th Ave S","18"
"100001_0","1_0","1","0","1610","100001","Prefontaine Pl S & Yesler Way","9"
"100001_0","1_0","1","0","1610","100001","Prefontaine Pl S & Yesler Way","26"
"100001_0","1_0","1","0","1690","100001","3rd Ave & Vine St","46"
"100001_0","1_0","1","0","1690","100001","3rd Ave & Vine St","63"
"100001_0","1_0","1","0","2010","100001","10th Ave W & W Fulton St","137"
"100001_0","1_0","1","0","2010","100001","10th Ave W & W Fulton St","154"
"100001_0","1_0","1","0","2320","100001","1st Ave & Broad St","54"
"100001_0","1_0","1","0","2320","100001","1st Ave & Broad St","71"
"100001_0","1_0","1","0","2332","100001","1st Ave N & John St","61"
"100001_0","1_0","1","0","2332","100001","1st Ave N & John St","78"
"100001_0","1_0","1","0","2360","100001","1st Ave N & Republican St","64"
"100001_0","1_0","1","0","2360","100001","1st Ave N & Republican St","81"
"100001_0","1_0","1","0","2370","100001","Mercer St & Queen Anne Ave N","68"
"100001_0","1_0","1","0","2370","100001","Mercer St & Queen Anne Ave N","85"
"100001_0","1_0","1","0","2390","100001","2nd Ave W & W Roy St","75"
"100001_0","1_0","1","0","2390","100001","2nd Ave W & W Roy St","92"
"100001_0","1_0","1","0","2400","100001","W Olympic Pl & 3rd Ave W","77"
"100001_0","1_0","1","0","2400","100001","W Olympic Pl & 3rd Ave W","94"
"100001_0","1_0","1","0","2410","100001","W Olympic Pl & 5th Ave W","79"
"100001_0","1_0","1","0","2410","100001","W Olympic Pl & 5th Ave W","96"
"100001_0","1_0","1","0","2420","100001","Olympic Way W & 7th Ave W","85"
"100001_0","1_0","1","0","2420","100001","Olympic Way W & 7th Ave W","102"
"100001_0","1_0","1","0","2430","100001","Olympic Way W & W Prospect St","92"
"100001_0","1_0","1","0","2430","100001","Olympic Way W & W Prospect St","109"
"100001_0","1_0","1","0","2440","100001","Olympic Way W & W Lee St","98"
"100001_0","1_0","1","0","2440","100001","Olympic Way W & W Lee St","115"
"100001_0","1_0","1","0","2450","100001","10th Ave W & W Galer St","101"
"100001_0","1_0","1","0","2450","100001","10th Ave W & W Galer St","118"
"100001_0","1_0","1","0","2460","100001","10th Ave W & W Blaine St","104"
"100001_0","1_0","1","0","2460","100001","10th Ave W & W Blaine St","121"
"100001_0","1_0","1","0","2470","100001","10th Ave W & W Howe St","106"
"100001_0","1_0","1","0","2470","100001","10th Ave W & W Howe St","123"
"100001_0","1_0","1","0","2480","100001","10th Ave W & W Crockett St","108"
"100001_0","1_0","1","0","2480","100001","10th Ave W & W Crockett St","125"
"100001_0","1_0","1","0","2490","100001","10th Ave W & W Mcgraw St","111"
"100001_0","1_0","1","0","2490","100001","10th Ave W & W Mcgraw St","128"
"100001_0","1_0","1","0","2500","100001","10th Ave W & W Halladay St","116"
"100001_0","1_0","1","0","2500","100001","10th Ave W & W Halladay St","133"
"100001_0","1_0","1","0","2510","100001","10th Ave W & W Newell St","123"
"100001_0","1_0","1","0","2510","100001","10th Ave W & W Newell St","140"
"100001_0","1_0","1","0","2520","100001","9th Ave W & W Armour St","126"
"100001_0","1_0","1","0","2520","100001","9th Ave W & W Armour St","143"
"100001_0","1_0","1","0","3600","100001","S Jackson St & 12th Ave S","1"
"100001_1","1_1","1","1","400","100001","3rd Ave & Bell St","83"
"100001_1","1_1","1","1","420","100001","3rd Ave & Virginia St","87"
"100001_1","1_1","1","1","430","100001","3rd Ave & Pine St","94"
"100001_1","1_1","1","1","450","100001","3rd Ave & Union St","99"
"100001_1","1_1","1","1","480","100001","3rd Ave & Marion St","104"
"100001_1","1_1","1","1","500","100001","3rd Ave & James St","109"
"100001_1","1_1","1","1","515","100001","3rd Ave S & S Main St","117"
"100001_1","1_1","1","1","1471","100001","S Jackson St & 5th Ave S","123"
