route_dir,route_id,direction_id,route_short_name,short_dir,shape_id
"100001_0","100001","0","1","1_0","11001011"
"100001_0","100001","0","1","1_0","11001012"
"100001_1","100001","1","1","1_1","20001009"
"100001_1","100001","1","1","1_1","20001010"
"100002_0","100002","0","10","10_0","11010022"
"100002_0","100002","0","10","10_0","11010033"
"100002_0","100002","0","10","10_0","11010034"
"100002_1","100002","1","10","10_1","20010006"
"100002_1","100002","1","10","10_1","20010035"
"100002_1","100002","1","10","10_1","20010036"
"100003_0","100003","0","101","101_0","21101074"
"100003_1","100003","1","101","101_1","10101069"
"100003_1","100003","1","101","101_1","10101071"
"100003_1","100003","1","101","101_1","10101083"
"100003_1","100003","1","101","101_1","10101084"
"100004_0","100004","0","105","105_0","11105009"
"100004_1","100004","1","105","105_1","20105010"
"100005_0","100005","0","106","106_0","21106108"
"100005_1","100005","1","106","106_1","10106034"
"100005_1","100005","1","106","106_1","10106037"
"100006_0","100006","0","107","107_0","21107019"
"100006_0","100006","0","107","107_0","21107020"
"100006_1","100006","1","107","107_1","10107018"
"100009_0","100009","0","11","11_0","11011042"
"100009_0","100009","0","11","11_0","11011051"
"100009_1","100009","1","11","11_1","20011009"
"100009_1","100009","1","11","11_1","20011043"
"100009_1","100009","1","11","11_1","20011052"
"100009_1","100009","1","11","11_1","20011053"
"100011_0","100011","0","111","111_0","21111040"
"100011_1","100011","1","111","111_1","10111002"
"100012_0","100012","0","113","113_0","21113028"
"100012_1","100012","1","113","113_1","10113020"
"100012_1","100012","1","113","113_1","10113021"
"100013_0","100013","0","114","114_0","21114029"
"100013_1","100013","1","114","114_1","10114001"
"100014_0","100014","0","116","116_0","21116022"
"100014_1","100014","1","116","116_1","10116001"
"100014_1","100014","1","116","116_1","10116021"
"100016_0","100016","0","118","118_0","21118006"
"100016_0","100016","0","118","118_0","21118009"
"100016_0","100016","0","118","118_0","21118340"
"100016_0","100016","0","118","118_0","21118342"
"100016_0","100016","0","118","118_0","21118349"
"100016_0","100016","0","118","118_0","21118376"
"100016_1","100016","1","118","118_1","10118004"
"100016_1","100016","1","118","118_1","10118346"
"100016_1","100016","1","118","118_1","10118347"
"100016_1","100016","1","118","118_1","10118357"
"100016_1","100016","1","118","118_1","10118362"
"100016_1","100016","1","118","118_1","10118370"
"100017_0","100017","0","119","119_0","21119002"
"100017_0","100017","0","119","119_0","21119006"
"100017_0","100017","0","119","119_0","21119027"
"100017_1","100017","1","119","119_1","10119012"
"100017_1","100017","1","119","119_1","10119014"
"100017_1","100017","1","119","119_1","10119016"
"100017_1","100017","1","119","119_1","10119022"
"100017_1","100017","1","119","119_1","10119028"
"100018_0","100018","0","12","12_0","11012041"
"100018_0","100018","0","12","12_0","11012042"
"100018_0","100018","0","12","12_0","11012043"
"100018_0","100018","0","12","12_0","11012044"
"100018_1","100018","1","12","12_1","20012045"
"100018_1","100018","1","12","12_1","20012046"
"100019_0","100019","0","120","120_0","21120053"
"100019_1","100019","1","120","120_1","10120056"
"100019_1","100019","1","120","120_1","10120058"
"100020_0","100020","0","121","121_0","21121001"
"100020_0","100020","0","121","121_0","21121002"
"100020_0","100020","0","121","121_0","21121092"
"100020_1","100020","1","121","121_1","10121003"
"100020_1","100020","1","121","121_1","10121085"
"100020_1","100020","1","121","121_1","10121087"
"100020_1","100020","1","121","121_1","10121088"
"100021_0","100021","0","122","122_0","21122022"
"100021_1","100021","1","122","122_1","10122017"
"100021_1","100021","1","122","122_1","10122018"
"100022_0","100022","0","123","123_0","21123019"
"100022_1","100022","1","123","123_1","10123015"
"100022_1","100022","1","123","123_1","10123016"
"100023_0","100023","0","124","124_0","21124050"
"100023_0","100023","0","124","124_0","21124051"
"100023_0","100023","0","124","124_0","21124059"
"100023_0","100023","0","124","124_0","21124060"
"100023_1","100023","1","124","124_1","10124001"
"100023_1","100023","1","124","124_1","10124002"
"100023_1","100023","1","124","124_1","10124033"
"100024_0","100024","0","125","125_0","21125001"
"100024_1","100024","1","125","125_1","10125002"
"100024_1","100024","1","125","125_1","10125003"
"100026_0","100026","0","128","128_0","11128039"
"100026_0","100026","0","128","128_0","11128040"
"100026_1","100026","1","128","128_1","20128041"
"100026_1","100026","1","128","128_1","20128042"
"100026_1","100026","1","128","128_1","20128043"
"100026_1","100026","1","128","128_1","20128045"
"100028_0","100028","0","13","13_0","11013031"
"100028_0","100028","0","13","13_0","11013032"
"100028_0","100028","0","13","13_0","11013033"
"100028_0","100028","0","13","13_0","11013034"
"100028_1","100028","1","13","13_1","20013007"
"100028_1","100028","1","13","13_1","20013008"
"100030_0","100030","0","131","131_0","21131104"
"100030_0","100030","0","131","131_0","21131106"
"100030_1","100030","1","131","131_1","10131103"
"100030_1","100030","1","131","131_1","10131105"
"100031_0","100031","0","132","132_0","21132386"
"100031_1","100031","1","132","132_1","10132383"
"100031_1","100031","1","132","132_1","10132384"
"100039_0","100039","0","14","14_0","21014605"
"100039_0","100039","0","14","14_0","21014606"
"100039_0","100039","0","14","14_0","21014607"
"100039_0","100039","0","14","14_0","21014608"
"100039_0","100039","0","14","14_0","21014610"
"100039_1","100039","1","14","14_1","10014601"
"100039_1","100039","1","14","14_1","10014602"
"100039_1","100039","1","14","14_1","10014603"
"100039_1","100039","1","14","14_1","10014604"
"100041_0","100041","0","143","143_0","21143001"
"100041_0","100041","0","143","143_0","21143052"
"100041_1","100041","1","143","143_1","10143003"
"100041_1","100041","1","143","143_1","10143053"
"100042_0","100042","0","148","148_0","21148008"
"100042_1","100042","1","148","148_1","10148007"
"100044_0","100044","0","15","15_0","11015700"
"100044_1","100044","1","15","15_1","20015801"
"100045_0","100045","0","150","150_0","21150186"
"100045_0","100045","0","150","150_0","21150189"
"100045_0","100045","0","150","150_0","21150192"
"100045_1","100045","1","150","150_1","10150002"
"100045_1","100045","1","150","150_1","10150172"
"100045_1","100045","1","150","150_1","10150188"
"100045_1","100045","1","150","150_1","10150193"
"100048_0","100048","0","153","153_0","21153016"
"100048_1","100048","1","153","153_1","10153018"
"100049_0","100049","0","154","154_0","21154062"
"100049_1","100049","1","154","154_1","10154061"
"100051_0","100051","0","158","158_0","21158001"
"100051_1","100051","1","158","158_1","10158004"
"100051_1","100051","1","158","158_1","10158005"
"100052_0","100052","0","159","159_0","21159001"
"100052_1","100052","1","159","159_1","10159003"
"100057_0","100057","0","164","164_0","41164001"
"100057_1","100057","1","164","164_1","30164002"
"100057_1","100057","1","164","164_1","30164003"
"100058_0","100058","0","166","166_0","11166057"
"100058_0","100058","0","166","166_0","11166058"
"100058_1","100058","1","166","166_1","20166053"
"100058_1","100058","1","166","166_1","20166054"
"100058_1","100058","1","166","166_1","20166056"
"100058_1","100058","1","166","166_1","20166061"
"100059_0","100059","0","167","167_0","21167335"
